Uporabnik_idUporabnik;COUNT(*)
espero;77
elvis1990;77
cak-mal-noris;77
tajkun08;77
mindmaster;77
camel2;77
roc;77
perlica;77
zelko289;76
vseved-7sqi;76
ayrton79;76
morgen;76
nincy2;76
kobalt;76
deancarni;75
slovenc-85;75
lord-of-d-rings;75
aresnica;75
chupa;75
blitz;75
partibrejker;75
mihaj1-nq4s;75
kwayzdey;74
simon1;74
patrakadabra18;74
es-y8pg;74
jcole;74
mirkoking;73
wayne-rooney;73
korenc;73
oxy;73
blackadder-7v91;73
vasia;73
katana-p4zd;73
pikam_dopust;73
andrejm-yj8h;73
likid;72
deninho1989;72
bjorndalen-tiala;72
gunman55;72
urko23;72
gumi;72
maxbernie;72
davide;72
dimel;72
impact;72
danger_mouse;72
ekv;72
sharkaa;72
skoviik;71
ata;71
bad-o;71
krosnjar;71
pd;71
paradiznik;71
anakin-skywalker;71
rooster;71
sunshine-iff0;71
konjice;71
sp-2006;71
optimus;70
mooodeeel;70
totifakin;70
samburin;70
heldarion;70
barto_;70
tomquick;70
timson2;69
neo_;69
sprehajalec;69
marjan91;69
jezek_moli_moli;69
olimpija-3;69
twofours44;69
md-zz4b;69
toset1;68
donkeyking;68
avantura10;68
hardworker;68
tomi76;68
gigi76;68
daywalker;68
urosq;68
cepheus;68
kum-50;68
go-keith-go;68
iawia;68
katastrofa;68
kimi12345;68
erwte35;67
sandro105105;67
t-bag;67
maestral-g4z8;67
raff69;67
latex;67
eltorro;67
alfi2;67
shostakovich;67
doda33;67
korosec19;67
player-x;66
ikacbe;66
yozo;66
skunex;66
goskic;66
rosa-tina;66
aschkao;66
no_remorse;66
micesar;66
nordnung;66
kla_man;66
ambroz22;65
djolc;65
dekalegend;65
scuffydog;65
gorenc007;65
ninjaturtle;65
miki84;65
marjank;65
sokol2010;65
kaj_kaj;65
imlakar4;65
nala-clovek;65
dotax;65
themetun;65
njukamhamendej;65
papiga;65
frozen-pingvin;65
velikipeter;65
thomas-m-ller;64
pero29;64
kuckucki;64
qiqi;64
mr-known;64
fowler09;64
r-o-k-o-m-e-t;64
mojster89;63
xman-mj1j;63
thr0l;63
urk3;63
calvin-u02z;63
rdeca-caplja;63
luka097;63
polzaliva;63
alen90;63
cmofkar;63
applecore;63
cfc90;63
shackler;63
bitl;63
burnfire;63
megalodon;62
smoky77;62
krofibajuk;62
blaugrana-2qmb;62
sundance411;62
labi;62
ledeni-qevl;62
phoca;62
goba4;62
urlaka00;61
breathe-mf41;61
slovenc99;61
mr_kojoti;61
forza-koper;61
liverpool07;61
dragon-jkh3;61
nowitzki;61
stefan000;61
coen;61
yzfz;61
fazliya;61
ledu84;61
semaino;61
latudent88;61
zivol;60
solo;60
lexani89;60
rickykaka;60
kvg;60
bmwx6;60
davison20;60
periege;60
zero-sen;60
verres;60
mefy;60
aljo986;60
spetnc;60
quinlan;60
thegeorge;60
frisk2k;59
dr-no-pjvh;59
denis19;59
r8888;59
mattyy;59
kriminalec;59
bingo123;59
janko54;59
joze234;58
domobraan;58
giftman;58
dallasfan;58
kavcic74;58
mihi1;58
cf-rm-fc-mb;58
minores;58
tarantino;58
gnooi;58
olimpijahockey-g907;58
urda;58
riss;58
mikipiki;58
roampoampoam;58
ne_blwdi;58
senninha;57
zival_in_pol;57
gd;57
somebody_87;57
paznik;57
johnnybrado;57
britaf;57
nemoremsespomnit;57
livarcar;57
bullshit_;57
jakec15;57
hombre;57
vidergar;57
inter20;57
jopp;57
ric-flair-whooo;57
daedalus;57
kazz;57
caruros;57
biberkopf;56
windir;56
bk1111;56
senna_maze-28;56
wyatt;56
miha-kolbanar;56
henry-3il4;56
olimpija-gx9b;56
bolekalolek;56
triptico;56
gino1981;56
juve-7tns;56
sapp;56
filozof;56
kavonb;56
damondash;55
jose-mourinho;55
repina;55
marxxx;55
member04;55
jahbulon;55
krelzo;55
totelcamp;55
adriano-10;55
kunguruj;55
slovencan;55
nwo;55
tutankamon-fjr6;55
asnl99;55
clarus;55
generusus;55
mb17;54
p607;54
fafaron;54
back;54
jack23;54
rebelrebel;54
krejzi;54
matrag;54
tadejstein;54
8tomass9;54
evalela;54
alex_25;54
aobri2;54
trnik;54
gun-yh2z;53
jacc;53
raknac-navi;53
renti;53
mazni;53
moochie;53
icemen82;53
joplin;53
slomix-20y2;53
michael-jordan;53
kaj_te_briga;53
micho1;53
mutd4ever;53
iskra73;53
bakazzy;52
celjan27;52
n_e_j_k_o;52
klgr;52
jeklar_z_macolo;52
jales;52
divaca;52
ka-on;52
seto;52
faracajg;52
enceljan;52
maco481990;52
noprou;52
mom;52
eos;52
fort-knox-d;52
marichuy1;52
afinogenov;52
kajboslajau;52
jan-ez-ch;52
1591;52
mihacar;51
drministr;51
foteljas;51
alekst;51
wazaaa;51
overlord580;51
korencek-1ogc;51
zlatorog_03;51
monte;51
limenka;51
simple;51
roser;51
kanjec;51
schultz23;51
sergio-aguero;50
mbagla;50
marko530;50
alonso1;50
leondejan1;50
hrvatska-x7cl;50
valuk_;50
kenzu;50
lyoto;50
dwyane-wade;50
sikerjosi;50
cameraobscura;50
branimir-ii;49
driklc;49
marx-5pzi;49
novlaptop;49
daysleeper2;49
fenriz;49
expert1;49
magdalenca-0pz7;49
flurazepam;49
bitrate;49
gregorzak;49
torcida-11k9;49
tureavanture-i1zs;49
blef;49
safboy;49
